Country,Price,Size,Status,Marketplace
Nabeul,650.0,120.0,A vendre,Jumia TN
Banlieue Nord,199000.0,1.0,A vendre,Jumia TN
Sousse,420000.0,157.36478304742684,À Vendre,Tayara TN
Mahdia,230200.0,95.0,A vendre,Jumia TN
Sousse,255000.0,183.0,A vendre,Jumia TN
Nabeul,82000.0,157.36478304742684,À Vendre,Tayara TN
Ariana,405725.0,183.0,A vendre,Jumia TN
Banlieue Nord,300000.0,90.0,A vendre,Jumia TN
Ariana,365000.0,175.0,A vendre,Jumia TN
Ariana,300000.0,150.0,A vendre,Jumia TN
Sousse,230000.0,120.0,A vendre,Jumia TN
Sousse,259000.0,130.0,A vendre,Jumia TN
Ariana,95760.0,57.0,A vendre,Jumia TN
Banlieue Nord,260000.0,1.0,A vendre,Jumia TN
Nabeul,220000.0,176.0,A vendre,Jumia TN
Ariana,90000.0,50.0,A vendre,Jumia TN
Ariana,250000.0,104.0,A vendre,Jumia TN
Sousse,250000.0,90.0,A vendre,Jumia TN
Tunis,330000.0,157.36478304742684,À Vendre,Tayara TN
Sousse,105000.0,80.0,A vendre,Jumia TN
Banlieue Nord,406000.0,150.0,A vendre,Jumia TN
Ariana,175000.0,68.0,A vendre,Jumia TN
Sousse,195000.0,90.0,A vendre,Jumia TN
Sousse,165000.0,157.36478304742684,À Vendre,Tayara TN
Sousse,150000.0,75.0,A vendre,Jumia TN
Banlieue Nord,190000.0,103.0,A vendre,Jumia TN
Sousse,270000.0,131.0,A vendre,Jumia TN
Nabeul,320000.0,100.0,A vendre,Jumia TN
Nabeul,180000.0,140.0,A vendre,Jumia TN
Banlieue Nord,280000.0,1.0,A vendre,Jumia TN
Banlieue Nord,1200000.0,200.0,A vendre,Jumia TN
Nabeul,380000.0,117.0,A vendre,Jumia TN
Ariana,183000.0,147.0,A vendre,Jumia TN
Ariana,222000.0,80.0,A vendre,Jumia TN
Ariana,265000.0,133.0,A vendre,Jumia TN
Nabeul,180000.0,92.0,A vendre,Jumia TN
Nabeul,250000.0,67.0,A vendre,Jumia TN
Banlieue Nord,250000.0,69.0,A vendre,Jumia TN
Ben arous,165000.0,101.0,A vendre,Jumia TN
Nabeul,130000.0,85.0,A vendre,Jumia TN
Ariana,250000.0,171.0,A vendre,Jumia TN
Sousse,249000.0,150.0,A vendre,Jumia TN
Banlieue Nord,470000.0,125.0,A vendre,Jumia TN
Ariana,170000.0,147.0,A vendre,Jumia TN
Banlieue Nord,995000.0,1.0,A vendre,Jumia TN
Sousse,240000.0,140.0,A vendre,Jumia TN
Banlieue Nord,240000.0,130.0,A vendre,Jumia TN
Sousse,180000.0,120.0,A vendre,Jumia TN
Ariana,500.0,100.0,A vendre,Jumia TN
Sousse,170000.0,106.0,A vendre,Jumia TN
Sousse,250023.0,127.0,A vendre,Jumia TN
Nabeul,220000.0,95.0,A vendre,Jumia TN
Sousse,285000.0,180.0,A vendre,Jumia TN
Ben arous,250000.0,158.0,A vendre,Jumia TN
Sousse,400000.0,141.0,A vendre,Jumia TN
Sousse,150000.0,100.0,A vendre,Jumia TN
Banlieue Nord,410000.0,200.0,A vendre,Jumia TN
Banlieue Nord,270000.0,140.0,A vendre,Jumia TN
Nabeul,296000.0,78.0,A vendre,Jumia TN
Sousse,405000.0,135.0,A vendre,Jumia TN
Banlieue Nord,830000.0,250.0,A vendre,Jumia TN
Sousse,250000.0,57.0,A vendre,Jumia TN
Ariana,570000.0,228.0,A vendre,Jumia TN
Banlieue Nord,949720.0,1.0,A vendre,Jumia TN
Nabeul,200000.0,163.0,A vendre,Jumia TN
Ariana,387782.0,158.0,A vendre,Jumia TN
Sousse,111111.0,122.0,A vendre,Jumia TN
Sousse,175000.0,90.0,A vendre,Jumia TN
Banlieue Nord,4800000.0,1.0,A vendre,Jumia TN
Banlieue Nord,650000.0,222.0,A vendre,Jumia TN
Mahdia,295300.0,103.0,A vendre,Jumia TN
Banlieue Nord,159000.0,70.0,A vendre,Jumia TN
Banlieue Nord,350000.0,109.0,A vendre,Jumia TN
Banlieue Nord,140000.0,157.36478304742684,À Vendre,Tayara TN
Nabeul,262000.0,135.0,A vendre,Jumia TN
Ariana,322000.0,150.0,A vendre,Jumia TN
Nabeul,280000.0,1.0,A vendre,Jumia TN
Mannouba,198000.0,114.0,A vendre,Jumia TN
Bizerte,350000.0,200.0,A vendre,Jumia TN
Nabeul,210000.0,104.0,A vendre,Jumia TN
Ariana,206000.0,118.0,A vendre,Jumia TN
Banlieue Nord,280000.0,1.0,A vendre,Jumia TN
Sousse,266000.0,148.0,A vendre,Jumia TN
Banlieue Nord,355000.0,160.0,A vendre,Jumia TN
Ariana,410000.0,170.0,A vendre,Jumia TN
Nabeul,160000.0,67.0,A vendre,Jumia TN
Ariana,460000.0,1.0,A vendre,Jumia TN
Nabeul,350000.0,132.0,A vendre,Jumia TN
Nabeul,185000.0,100.0,A vendre,Jumia TN
Nabeul,140000.0,100.0,A vendre,Jumia TN
Sousse,500000.0,100.0,A vendre,Jumia TN
Banlieue Nord,280000.0,1.0,A vendre,Jumia TN
Ariana,280000.0,157.36478304742684,À Vendre,Tayara TN
Nabeul,235000.0,110.0,A vendre,Jumia TN
Djerba,850.0,157.36478304742684,À Vendre,Tayara TN
Ben arous,135000.0,157.36478304742684,À Vendre,Tayara TN
Banlieue Nord,1400000.0,500.0,A vendre,Jumia TN
Sousse,248000.0,113.0,A vendre,Jumia TN
Banlieue Nord,1570.0,157.36478304742684,À Vendre,Tayara TN
Banlieue Nord,530000.0,290.0,A vendre,Jumia TN
Sousse,170000.0,106.0,A vendre,Jumia TN
Sousse,162000.0,95.0,A vendre,Jumia TN
Ariana,550000.0,150.0,A vendre,Jumia TN
Banlieue Nord,3500.0,1.0,A vendre,Jumia TN
Banlieue Nord,490000.0,1.0,A vendre,Jumia TN
Ariana,500000.0,1.0,A vendre,Jumia TN
Banlieue Nord,568000.0,218.0,A vendre,Jumia TN
Banlieue Nord,150000.0,80.0,A vendre,Jumia TN
Bizerte,120000.0,157.36478304742684,À Vendre,Tayara TN
