,Country,Price
1673,Tunis,1000.0
1678,Ben arous,400.0
1680,Tunis,120.0
1681,Banlieue Nord,7500.0
1684,Nabeul,130.0
1685,Ben arous,450.0
1688,Banlieue Nord,1350.0
1689,Ben arous,550.0
1691,Banlieue Nord,900.0
1692,Monastir,0.0
1693,Tunis,2600.0
1694,Tunis,1000.0
1696,Cite el khadra,2000.0
1697,Tunis,400.0
1698,Banlieue Nord,2300.0
1699,Tunis,750.0
1700,Banlieue Nord,800.0
1701,Banlieue Nord,1200.0
1702,Ariana,4000.0
1703,Tunis,1400.0
1704,Tunis,900.0
1705,Banlieue Nord,5000.0
1706,Bardo,650.0
1707,Banlieue Nord,7000.0
1708,Banlieue Nord,800.0
1709,Nabeul,100.0
1710,Nabeul,7920.0
1711,Sousse,1600.0
1712,Banlieue Nord,2300.0
1713,Ben arous,380.0
1714,Sfax,350.0
1717,Ariana,0.0
1718,Banlieue Nord,980.0
1719,Banlieue Nord,1100.0
1721,Ariana,780.0
1722,Ben arous,440.0
1723,Banlieue Nord,2500.0
1725,Ariana,550.0
1727,Ariana,1500.0
1728,Sfax,0.0
1729,Ariana,500.0
1730,Banlieue Nord,3400.0
1731,Ben arous,480.0
1732,Sousse,80.0
1733,Ariana,1200.0
1737,Ariana,900.0
1738,Gafsa,30.0
1740,Banlieue Nord,2000.0
1741,Tunis,750.0
1742,Ben arous,650.0
1743,Sousse,100.0
1745,Banlieue Nord,1500.0
1750,Banlieue Nord,600.0
1751,Cite el khadra,780.0
1752,Ariana,80.0
1754,Sousse,100.0
1756,Ariana,1050.0
1758,Sousse,550.0
1760,Tunis,550.0
1761,Ariana,14000.0
1762,Banlieue Nord,150.0
1764,Banlieue Nord,2000.0
1767,Banlieue Nord,2200.0
1768,Banlieue Nord,750.0
1771,Sousse,350.0
1772,Nabeul,420.0
1773,Ben arous,400.0
1775,Ariana,530.0
1778,Banlieue Nord,1900.0
1779,Ben arous,400.0
1780,Tunis,2500.0
1782,Banlieue Nord,8000.0
1785,Ariana,600.0
1787,Banlieue Nord,4500.0
1789,Ariana,640.0
1791,Monastir,40.0
1792,Ariana,1000.0
1793,Banlieue Nord,3000.0
1794,Monastir,50.0
1796,Banlieue Nord,1800.0
1797,Mannouba,500.0
1799,Banlieue Nord,750.0
1801,Bardo,1200.0
1803,Banlieue Nord,5500.0
1805,Ariana,1150.0
1808,Ariana,1200.0
1809,Ariana,1150.0
1811,Nabeul,7920.0
1813,Banlieue Nord,3500.0
1815,Banlieue Nord,2800.0
1816,Banlieue Nord,5000.0
1818,Sousse,250.0
1819,Tunis,700.0
1820,Sousse,600.0
1824,Banlieue Nord,2000.0
1825,Tunis,400.0
1827,Ariana,100.0
1829,Ariana,700.0
1830,Ariana,2500.0
1832,Banlieue Nord,2700.0
1833,Ariana,550.0
1835,Banlieue Nord,3000.0
1836,Ariana,4000.0
1837,Sousse,90.0
1839,Ben arous,700.0
1840,Banlieue Nord,720.0
1842,Banlieue Nord,1450.0
1844,Banlieue Nord,3000.0
1845,Nabeul,250.0
1848,Ben arous,360.0
1849,Nabeul,80.0
1850,Nabeul,140.0
1851,Banlieue Nord,1600.0
1852,Banlieue Nord,2800.0
1853,Banlieue Nord,870.0
1856,Ariana,1300.0
1858,Ben arous,380.0
1859,Nabeul,1400.0
1861,Ariana,1200.0
1863,Mannouba,150.0
1866,Ben arous,600.0
1868,Ariana,6500.0
1871,Ariana,6000.0
1873,Ariana,870.0
1874,Ariana,700.0
1876,Banlieue Nord,850.0
1878,Ariana,1000.0
1881,Banlieue Nord,1700.0
1882,Banlieue Nord,130.0
1885,Ariana,2000.0
1886,Tunis,350.0
1889,Banlieue Nord,1550.0
1892,Ariana,900.0
1895,Banlieue Nord,5500.0
1896,Sousse,0.0
1897,Ariana,1050.0
1900,Ben arous,380.0
1903,Banlieue Nord,6500.0
1904,Banlieue Nord,500.0
1906,Tunis,500.0
1907,Banlieue Nord,1600.0
1908,Tunis,700.0
1910,Banlieue Nord,2400.0
1911,Tunis,1200.0
1914,Sousse,4000.0
1917,Jendouba,250.0
1918,Tunis,659.0
1920,Ariana,900.0
1921,Nabeul,130.0
1924,Mannouba,700.0
1925,Banlieue Nord,1200.0
1926,Ariana,750.0
1927,Banlieue Nord,2500.0
1930,Banlieue Nord,400.0
1931,Ariana,550.0
1934,Banlieue Nord,350.0
1935,Sfax,700.0
1939,Ariana,680.0
1941,Banlieue Nord,400.0
1942,Ariana,1100.0
1944,Tunis,1300.0
1948,Sousse,750.0
1950,Banlieue Nord,250.0
1952,Banlieue Nord,2500.0
1954,Sousse,380.0
1956,Banlieue Nord,1200.0
1959,Banlieue Nord,420.0
1960,Tunis,900.0
1963,Banlieue Nord,1700.0
1964,Banlieue Nord,500.0
1966,Ariana,2500.0
1969,Tunis,400.0
1970,Ariana,100.0
1972,Mannouba,750.0
1973,Banlieue Nord,2300.0
1975,Ariana,1500.0
1977,Ariana,850.0
1979,Tunis,3200.0
1982,Ariana,500.0
1984,Banlieue Nord,3000.0
1985,Jendouba,280.0
1990,Banlieue Nord,3000.0
1991,Ariana,1050.0
1993,Cite el khadra,5000.0
1995,Banlieue Nord,6000.0
1996,Ariana,1250.0
1998,Banlieue Nord,3500.0
2001,Ariana,5000.0
2003,Ben arous,850.0
2004,Banlieue Nord,1500.0
2006,Sfax,700.0
2008,Mannouba,650.0
2010,Cite el khadra,2000.0
2012,Banlieue Nord,5000.0
2014,Banlieue Nord,900.0
2016,Banlieue Nord,20000.0
2018,Ben arous,470.0
2020,Tunis,420.0
2022,Ariana,700.0
2023,Tunis,2100.0
2025,Ben arous,450.0
2027,Sousse,100.0
2029,Banlieue Nord,1700.0
2031,Ariana,900.0
2033,Ariana,80.0
2034,Banlieue Nord,2200.0
2035,Banlieue Nord,1600.0
2037,Gafsa,220.0
2038,Nabeul,800.0
2040,Sousse,700.0
2042,Tunis,750.0
2043,Banlieue Nord,600.0
2044,Nabeul,900.0
2046,Nabeul,1500.0
2048,Ariana,600.0
2049,Nabeul,550.0
2052,Sousse,400.0
2053,Banlieue Nord,1750.0
2055,Ariana,500.0
2058,Tunis,450.0
2063,Tunis,3000.0
2066,Tunis,750.0
2068,Nabeul,800.0
2070,Banlieue Nord,2000.0
2071,Ben arous,490.0
2073,Tunis,450.0
2075,Banlieue Nord,1000.0
2076,Ariana,1500.0
2078,Ariana,1100.0
2080,Ben arous,440.0
2082,Banlieue Nord,1000.0
2085,Tunis,1200.0
2087,Ben arous,760.0
2089,Banlieue Nord,900.0
2092,Tunis,2000.0
2093,Sousse,700.0
2094,Sfax,400.0
2097,Banlieue Nord,680.0
2098,Sousse,1000.0
2100,Ariana,550.0
2105,Banlieue Nord,750.0
2106,Sousse,130.0
2109,Monastir,380.0
2113,Nabeul,150.0
2117,Monastir,300.0
2120,Nabeul,100.0
